Name,City,Beds,Baths,Guests,Revenue Potential,Days Available,Revenue,Occupancy,Daily Rate,Rating
House with Spa & swimming pool. An ideal place to relax!,Jouy-le-Moutier,2 Bed,1 Bath,4 Guests,€6k,32,€3.6k,78%,€144.5,0 (0)
Maison Jouy-le-Moutier,Jouy-le-Moutier,3 Bed,1 Bath,8 Guests,€5.1k,61,€3.5k,43%,€133.2,5 (4)
Modern house,Jouy-le-Moutier,2 Bed,2 Bath,4 Guests,€3.3k,56,€3.3k,32%,€180.6,5 (2)
Delightful bedroom in spacious house,Jouy-le-Moutier,1 Bed,1 Bath,1 Guests,€4.2k,255,€3.2k,38%,€32.5,5 (66)
large 2-room apartment in residence,Jouy-le-Moutier,1 Bed,1 Bath,4 Guests,€2.8k,59,€2.8k,75%,€63,5 (10)
Exceptional cottage near Disney Paris 15 P,Jouy-sur-Morin,10 Bed,1 Bath,15 Guests,€36.9k,308,€34.5k,18%,€616.9,5 (29)
One bedroom at Anne-Catherine's,Jouy-sur-Morin,4 Bed,1 Bath,10 Guests,€19.9k,242,€17.9k,41%,€179.3,5 (38)
Chaleureuse maison à la campagne,Jouy-sur-Morin,2 Bed,1 Bath,5 Guests,€20.8k,144,€9.4k,74%,€88.3,4 (3)
A green room at Anne-Catherine's,Jouy-sur-Morin,1 Bed,1 Bath,2 Guests,€9k,221,€6.4k,39%,€74,5 (4)
A small room at Anne-Catherine's.,Jouy-sur-Morin,1 Bed,1 Bath,1 Guests,€7.4k,257,€6.4k,47%,€53,5 (3)
A yellow bedroom at Anne-Catherine's,Jouy-sur-Morin,1 Bed,1 Bath,2 Guests,€7.4k,190,€3.3k,30%,€58.2,5 (5)
A Red Room at Anne-Catherine's,Jouy-sur-Morin,1 Bed,1 Bath,2 Guests,€7.7k,170,€3.3k,31%,€62,5 (36)
LES GITES DU JARIEL in JOUY SUR MORIN,Jouy-sur-Morin,2 Bed,1 Bath,4 Guests,€3.4k,156,€2.8k,19%,€93,4 (3)
Studio with shared pool (optional),Jouy-sur-Morin,0 Bed,1 Bath,2 Guests,€3.1k,174,€2.8k,22%,€73.2,5 (13)
Maison bourgeoise,Jouy-sur-Morin,3 Bed,2 Bath,8 Guests,€7.2k,12,€2.4k,83%,€242.5,0 (0)
Green and quiet house,Jouy-sur-Morin,1 Bed,1 Bath,2 Guests,€2.4k,187,€2.3k,21%,€57.9,5 (5)
Maison Paris/Disney/Provins,Jouy-sur-Morin,0 Bed,1 Bath,6 Guests,€10.8k,5,€2.2k,100%,€440.6,0 (0)
Le Petit Gite Cocoon,Jouy-sur-Morin,1 Bed,1 Bath,2 Guests,€1.3k,79,€1.3k,41%,€39.3,5 (1)
Studio Meublé Avec Piscine,Jouy-sur-Morin,1 Bed,1.5 Bath,2 Guests,€2.2k,97,€785.6,9%,€87.3,0 (0)
Charmant Appartement Avec Piscine,Jouy-sur-Morin,2 Bed,1 Bath,4 Guests,€1.5k,69,€758,7%,€151.6,0 (0)
Very bright room near Paris/Disney/Provins,Jouy-sur-Morin,1 Bed,1 Bath,2 Guests,€148.8,21,€148.8,10%,€74.4,0 (0)
Pretty villa Paris (15min) & Orly / Seine view,Juvisy-sur-Orge,5 Bed,4 Bath,16 Guests,€87.9k,358,€86.8k,84%,€287.4,5 (94)
Appart'Hôtel Luminous Vue Seine- Paris 15min,Juvisy-sur-Orge,4 Bed,1 Bath,8 Guests,€58.9k,347,€57.5k,53%,€310.9,5 (71)
Beautiful villa close Paris & Orly / Seine view,Juvisy-sur-Orge,4 Bed,3 Bath,13 Guests,€54.3k,344,€51k,66%,€223.8,5 (22)
Nice 4 bedroom apartment 13 minutes from Paris,Juvisy-sur-Orge,4 Bed,3.5 Bath,12 Guests,€53.6k,340,€48.8k,59%,€244,5 (276)
2 flat in 1 Seine view/ Paris 15 min/ Orly 10min,Juvisy-sur-Orge,3 Bed,2 Bath,11 Guests,€30.7k,323,€26.9k,62%,€133.7,5 (10)
Studio Chic Bohème - 25min Paris,Juvisy-sur-Orge,0 Bed,1 Bath,2 Guests,€27.6k,213,€26.7k,69%,€182.7,3 (1)
Pet friendly home in Juvisy-Sur-Orge with Wi-Fi,Juvisy-sur-Orge,4 Bed,3.5 Bath,7 Guests,€25.7k,140,€25.7k,58%,€317.4,5 (1)
4 room apartment in the 91,Juvisy-sur-Orge,3 Bed,1 Bath,8 Guests,€39.2k,43,€21.3k,37%,€1.3k,0 (0)
Tropical Modern Oasis 15 mins from Paris,Juvisy-sur-Orge,1 Bed,1 Bath,4 Guests,€26.6k,266,€21.2k,74%,€108.3,5 (89)
House - 8 pers - Paris/Orly - Ideal long stay,Juvisy-sur-Orge,3 Bed,2.5 Bath,8 Guests,€37.3k,176,€21k,73%,€164.3,5 (28)
Le Joyau Caché - 25min Paris,Juvisy-sur-Orge,1 Bed,1 Bath,4 Guests,€19k,202,€17.9k,51%,€171.9,4 (2)
Pretty F3/ 10 min Orly airport,Juvisy-sur-Orge,2 Bed,1 Bath,5 Guests,€20.7k,298,€17.8k,46%,€131.2,4 (4)
House with Seine view ! Paris 15min! Orly 10 min,Juvisy-sur-Orge,2 Bed,1 Bath,8 Guests,€21.5k,303,€17.3k,61%,€94.2,5 (47)
studio near the station 20 minutes from Paris and Orly,Juvisy-sur-Orge,0 Bed,1 Bath,2 Guests,€16.6k,350,€15.9k,91%,€49.9,5 (144)
Le Malt - Centre Ville - Gare - Elégance française,Juvisy-sur-Orge,1 Bed,1 Bath,4 Guests,€15.8k,263,€15.2k,62%,€93.8,5 (11)
"VILLA GABI:Appart'T2 Musée d'Orsay-10'Paris, ADP Orly",Juvisy-sur-Orge,1 Bed,1 Bath,4 Guests,€17.2k,301,€14.4k,52%,€92.3,5 (1)
Lovely spacious flat near Paris Orly - N 3,Juvisy-sur-Orge,3 Bed,1 Bath,6 Guests,€19.3k,265,€14.3k,30%,€181,5 (41)
Fully-equipped studio apartment,Juvisy-sur-Orge,1 Bed,1 Bath,4 Guests,€21.1k,207,€14.2k,83%,€82.9,5 (31)
Studio cosy face à la Seine - prox. Vexin,Juziers,0 Bed,1 Bath,2 Guests,€13.2k,290,€10.8k,69%,€54.5,5 (234)
Nice 2 rooms in Juziers,Juziers,1 Bed,1 Bath,3 Guests,€5.8k,305,€5.2k,27%,€64.3,5 (38)
Private rooms in an atypical house from 1900.,Juziers,2 Bed,1 Bath,5 Guests,€6.4k,41,€4.1k,44%,€225.3,0 (0)
"Duplex 130m2, direct access to Paris in 1 hour",Juziers,4 Bed,2 Bath,8 Guests,€13.1k,52,€4k,38%,€201.8,5 (19)
Room on the banks of the Seine,Juziers,1 Bed,1 Bath,2 Guests,€8.8k,129,€3.4k,88%,€30.1,5 (24)
Chalet 20 m² near the banks of the Seine,Juziers,1 Bed,1.5 Bath,3 Guests,€1.9k,158,€1.7k,9%,€111.7,5 (9)
Stunning balneo jacuzzi apartment,Juziers,0 Bed,1 Bath,2 Guests,€1.6k,162,€1.5k,5%,€184.8,5 (1)
Maison de charme 4 personnes,Juziers,2 Bed,2 Bath,4 Guests,€5k,64,€1.4k,33%,€65.6,0 (0)
Beautiful 3 bedroom house for 6 people,Juziers,3 Bed,1 Bath,6 Guests,€1.4k,67,€1.4k,16%,€124.9,5 (3)
Studio Les Hauts de Juziers,Juziers,1 Bed,1 Bath,4 Guests,€916,63,€916,17%,€83.3,5 (6)
Bedroom for 2 people (house),Juziers,0 Bed,0 Bath,2 Guests,€551.3,51,€551.3,29%,€36.8,0 (0)
Maison de Charme Rénovée à Louer aux Portes du Vexin,Juziers,2 Bed,2 Bath,4 Guests,€464.9,59,€464.9,34%,€23.3,0 (0)
Private room and bathroom,Juziers,1 Bed,1 Bath,2 Guests,€315.1,34,€315.1,21%,€45,0 (0)
Small apartment Living room kitchen room Separate,Juziers,2 Bed,1 Bath,2 Guests,€171.8,57,€171.8,9%,€34.4,0 (0)
Quiet room,Juziers,1 Bed,1 Bath,2 Guests,€466.8,18,€163.5,11%,€81.8,0 (0)
A haven of peace between Paris and the forest,L'Étang-la-Ville,5 Bed,3.5 Bath,8 Guests,€214.1k,51,€28k,53%,€1k,5 (3)
L’appartement la tête dans les 🌳à l’ouest de Paris,L'Étang-la-Ville,1 Bed,1 Bath,3 Guests,€33.2k,280,€24.5k,60%,€145.9,0 (0)
Charming village house for 5 near Versailles/Paris,L'Étang-la-Ville,3 Bed,1 Bath,5 Guests,€25.2k,241,€17.5k,56%,€130.8,5 (64)
Studio in our house,L'Étang-la-Ville,1 Bed,1 Bath,4 Guests,€18.4k,318,€16k,92%,€55,5 (15)
Villa near Paris,L'Étang-la-Ville,5 Bed,4 Bath,12 Guests,€33k,22,€13.1k,77%,€772.8,5 (1)
Tranquil guesthouse near Paris,L'Étang-la-Ville,1 Bed,1 Bath,4 Guests,€13k,296,€13k,43%,€101.3,0 (0)
Large 6 bedroom house near Paris,L'Étang-la-Ville,6 Bed,2 Bath,12 Guests,€29.6k,38,€9.7k,76%,€334.4,5 (15)
Self-contained Duplex in a chalet near Paris,L'Étang-la-Ville,1 Bed,1.5 Bath,4 Guests,€7.9k,246,€5.8k,39%,€59.3,5 (25)
Beautiful renovated appartment with sauna & garden,L'Étang-la-Ville,1 Bed,1 Bath,4 Guests,€6.5k,236,€5.2k,23%,€95.2,5 (96)
Appartement l''Etang la Ville,L'Étang-la-Ville,1 Bed,1 Bath,2 Guests,€5.3k,189,€5k,28%,€93.8,0 (0)
Renovated flat with terrace garden near tramway,L'Étang-la-Ville,1 Bed,1 Bath,4 Guests,€5.1k,249,€4.9k,25%,€78.3,5 (15)
Home near Olympic sites,L'Étang-la-Ville,5 Bed,2 Bath,8 Guests,€8.5k,16,€3.5k,56%,€392.9,0 (0)
Studio terrace near forest Gare pour Paris 4mn away,L'Étang-la-Ville,1 Bed,0 Bath,3 Guests,€2.4k,84,€2.4k,33%,€85.8,5 (8)
30% off for monthly rent - Flat 3 BR near tram,L'Étang-la-Ville,3 Bed,1 Bath,8 Guests,€3.9k,119,€2.3k,8%,€233.6,5 (5)
An Olympic 5* stay well connected,L'Étang-la-Ville,1 Bed,1 Bath,2 Guests,€4.8k,5,€2.1k,100%,€425.2,0 (0)
Studette Super Chouette,L'Étang-la-Ville,1 Bed,1 Bath,3 Guests,€2k,67,€2k,21%,€140.1,0 (0)
Lovely Country House,L'Étang-la-Ville,5 Bed,4.5 Bath,10 Guests,€1.7k,17,€1.7k,12%,€830.6,0 (0)
Pretty garden artist house!,L'Étang-la-Ville,3 Bed,2 Bath,5 Guests,€3.1k,35,€1.5k,23%,€181.9,4 (1)
Architect’s House at the Gates of Paris,L'Haÿ-les-Roses,6 Bed,3 Bath,12 Guests,€74.6k,284,€70.3k,34%,€732.7,5 (14)
Nice apartment 84 m² 3 bedrooms. Free parking,L'Haÿ-les-Roses,3 Bed,2 Bath,6 Guests,€54.6k,322,€49.5k,97%,€159.1,5 (110)
A favorite 15 minutes from Paris + Private parking,L'Haÿ-les-Roses,2 Bed,1 Bath,6 Guests,€39.6k,348,€37.7k,75%,€143.9,5 (143)
Charming grinding machine,L'Haÿ-les-Roses,3 Bed,2 Bath,6 Guests,€36.9k,301,€36.9k,54%,€225.3,5 (1)
The house with the beautiful terrace,L'Haÿ-les-Roses,4 Bed,2 Bath,6 Guests,€53k,109,€35.5k,40%,€806.5,0 (0)
"Villa 145m2 modern 4 bedrooms, beautiful terrace and garden near Paris",L'Haÿ-les-Roses,4 Bed,3 Bath,10 Guests,€86.9k,86,€33.6k,99%,€394.8,5 (0)
Large bright apartment near Paris,L'Haÿ-les-Roses,4 Bed,2 Bath,8 Guests,€32.2k,285,€31.9k,59%,€191,5 (19)
Grande Maison / RER B 13 à min / Aéroport ORLY,L'Haÿ-les-Roses,3 Bed,1 Bath,10 Guests,€32.2k,323,€30.7k,36%,€262.6,5 (41)
"3 bedrooms, 4 beds, ideal for visiting Paris",L'Haÿ-les-Roses,3 Bed,1 Bath,5 Guests,€30.9k,349,€29.6k,85%,€99.5,5 (258)
JO spacious loft near Paris,L'Haÿ-les-Roses,4 Bed,2 Bath,8 Guests,€28.8k,148,€28.2k,34%,€552.8,5 (7)
Keyless Appartment Modern & Spacious 90 m2 Parking,L'Haÿ-les-Roses,3 Bed,1 Bath,6 Guests,€28.1k,263,€26k,70%,€141.9,5 (33)
The Pivoine Experience,L'Haÿ-les-Roses,2 Bed,1 Bath,4 Guests,€24.2k,351,€24k,57%,€120.4,5 (20)
Metro 7 min away | Self Check-in | Parking | WiFi,L'Haÿ-les-Roses,2 Bed,1 Bath,4 Guests,€31.6k,220,€22.3k,72%,€140.2,5 (120)
Splendid Apartment on the outskirts of Paris+Parking,L'Haÿ-les-Roses,1 Bed,1 Bath,4 Guests,€22.1k,339,€20.2k,56%,€106.2,5 (104)
"Beau T3, proche paris, parking (option), PMR",L'Haÿ-les-Roses,2 Bed,1 Bath,5 Guests,€20.6k,357,€20.1k,61%,€92.2,5 (219)
Warm house with garden 5 Km from Paris.,L'Haÿ-les-Roses,2 Bed,1.5 Bath,4 Guests,€18.8k,116,€18.8k,75%,€216.6,5 (1)
L'Hay-les-Roses near RER Paris,L'Haÿ-les-Roses,2 Bed,1 Bath,6 Guests,€17.9k,203,€17.7k,57%,€152.5,5 (4)
Beautiful spacious house garden terrace parking,L'Haÿ-les-Roses,6 Bed,2 Bath,12 Guests,€31.8k,154,€17.5k,16%,€730.4,5 (2)
Duplex Proche Village Olympique JO2024 Pr 7 p.,L'Île-Saint-Denis,3 Bed,2 Bath,7 Guests,€58.5k,276,€49.9k,71%,€254.7,5 (25)
"Nina House, Exceptional Suite",L'Île-Saint-Denis,1 Bed,1 Bath,2 Guests,€76.6k,232,€49.3k,57%,€373.4,5 (291)
Beautiful apartment - Cozy - Near Paris,L'Île-Saint-Denis,2 Bed,1 Bath,6 Guests,€33.8k,256,€32.5k,64%,€199.7,4 (20)
Bright flat with parking and balcony,L'Île-Saint-Denis,3 Bed,1.5 Bath,6 Guests,€31.6k,284,€29.5k,57%,€181.9,4 (3)
Jasmine Island,L'Île-Saint-Denis,2 Bed,1 Bath,6 Guests,€28.5k,359,€28k,58%,€134.7,5 (7)
“Face to face with the Seine” on the outskirts of Paris,L'Île-Saint-Denis,1 Bed,1 Bath,4 Guests,€29.4k,345,€28k,98%,€83.2,5 (94)
"Relaxing Seine Views Apartment, Saint-Denis Island",L'Île-Saint-Denis,2 Bed,2 Bath,4 Guests,€27.2k,304,€26.9k,52%,€170.5,4 (1)
Charming apartment close to Paris,L'Île-Saint-Denis,1 Bed,1 Bath,6 Guests,€32.3k,117,€26k,70%,€317.6,0 (0)
Close to Paris: Welcome to my island!,L'Île-Saint-Denis,2 Bed,1 Bath,4 Guests,€20.9k,361,€20.7k,68%,€83.7,5 (56)
Very quiet flat near Paris,L'Île-Saint-Denis,1 Bed,1 Bath,4 Guests,€20.7k,359,€20.4k,79%,€71.9,5 (152)
Charming apartment - terrace,L'Île-Saint-Denis,1 Bed,1 Bath,4 Guests,€18.1k,363,€17.9k,87%,€56.6,4 (135)
Chez Océane,L'Île-Saint-Denis,1 Bed,1 Bath,3 Guests,€18.5k,345,€17.4k,92%,€54.8,5 (108)
GuestReady - Chic Haven in L'Île-Saint-Denis,L'Île-Saint-Denis,0 Bed,1 Bath,2 Guests,€16.6k,51,€16.6k,67%,€486.8,0 (0)
Charming Island House 10 minutes from Paris,L'Île-Saint-Denis,3 Bed,3.5 Bath,6 Guests,€43.1k,59,€16.1k,80%,€342.5,0 (0)
Near Paris and Stade de France,L'Île-Saint-Denis,2 Bed,1.5 Bath,3 Guests,€21.1k,221,€15.9k,40%,€178.6,5 (9)
ideal JO 2024/F2 400 m from Athlete Village,L'Île-Saint-Denis,1 Bed,1 Bath,2 Guests,€15.5k,180,€15.5k,47%,€184.9,5 (4)
At the heart of the Olympic village view seine with park.,L'Île-Saint-Denis,3 Bed,2.5 Bath,6 Guests,€36.7k,70,€14.8k,76%,€278.8,5 (7)
apartment /Olympic village,L'Île-Saint-Denis,2 Bed,2 Bath,6 Guests,€19k,69,€13.3k,33%,€576.6,0 (0)
"Le Havre d''Adam - SPA, Piscine, Cinéma, Privatisé",L'Isle-Adam,1 Bed,1.5 Bath,4 Guests,€80.3k,244,€66.9k,39%,€704,0 (0)
Escape Spa Private Hot Bath & Sauna (20' CDG),L'Isle-Adam,1 Bed,1 Bath,2 Guests,€67.1k,357,€65.6k,64%,€286.5,5 (15)
Unusual Coconut with whirlpool (20' CDG),L'Isle-Adam,1 Bed,1 Bath,2 Guests,€65k,366,€65k,66%,€268.4,4 (6)
La Porte d 'Adam - SPA and Piscine Indoor Cinema,L'Isle-Adam,1 Bed,1.5 Bath,4 Guests,€54.1k,351,€52.9k,57%,€266,5 (105)
Intimate Cocon Unusual Hot tub (20' by CDG),L'Isle-Adam,1 Bed,1 Bath,2 Guests,€43.9k,302,€34.6k,43%,€268.1,4 (11)
Forest Chic : Maison San Marina,L'Isle-Adam,3 Bed,2 Bath,8 Guests,€29.8k,258,€23.6k,38%,€242.9,5 (11)
Rêve flottant pour amoureux balnéo et sauna - La Balzac,L'Isle-Adam,1 Bed,1 Bath,2 Guests,€37.4k,119,€23.4k,62%,€316.4,0 (0)
Escapade Relaxante - Jacuzzi - Sauna - Privés,L'Isle-Adam,1 Bed,1 Bath,4 Guests,€22.4k,322,€20k,35%,€175.3,5 (199)
Un moment suspendu pour couple - L'Evila,L'Isle-Adam,1 Bed,1 Bath,2 Guests,€32k,120,€18.5k,47%,€330.1,0 (0)
Villa Marina,L'Isle-Adam,4 Bed,2 Bath,15 Guests,€28.6k,43,€18.5k,26%,€1.7k,0 (0)
Pleasant cozy and bright studio,L'Isle-Adam,1 Bed,1 Bath,3 Guests,€17.5k,343,€16.6k,74%,€65.1,5 (123)
The Garden House,L'Isle-Adam,1 Bed,1 Bath,4 Guests,€18.5k,301,€15.3k,69%,€73.3,5 (113)
Comfortable Apartment Adamois & Sauna,L'Isle-Adam,1 Bed,1.5 Bath,4 Guests,€16.1k,332,€15.1k,45%,€101,5 (2)
"Step-free house with garden, up to 6 people",L'Isle-Adam,2 Bed,1 Bath,6 Guests,€14.8k,223,€13.9k,76%,€82.1,5 (96)
"La Maryzette , magnificent views of the river.",L'Isle-Adam,1 Bed,1.5 Bath,2 Guests,€17.7k,266,€13k,67%,€73.2,5 (66)
Beautiful studio on the Marina,L'Isle-Adam,1 Bed,1 Bath,2 Guests,€11.4k,224,€8.1k,44%,€82.8,5 (9)
Beautiful attic appartment with parking,L'Isle-Adam,1 Bed,1 Bath,2 Guests,€7.2k,229,€6.9k,44%,€68.2,5 (10)
3 bedroom apartment 5 pers L'Isle Adam *JO PARIS*,L'Isle-Adam,3 Bed,1.5 Bath,5 Guests,€11.8k,119,€6.2k,37%,€140.9,5 (6)
Chalet Savoyard of the Domaine de la Butte ronde,La Boissière-École,2 Bed,2 Bath,14 Guests,€76.2k,176,€48.7k,48%,€572.7,5 (35)
Country House 50mn to Paris with pool and hot tub,La Boissière-École,4 Bed,4 Bath,8 Guests,€38.3k,353,€36.9k,38%,€273,5 (65)
Chalet Canadien du Domaine de la Butte ronde,La Boissière-École,3 Bed,3 Bath,16 Guests,€55.2k,168,€33.8k,43%,€462.8,5 (35)
Chalet Alaska 2,La Boissière-École,1 Bed,1 Bath,2 Guests,€34.3k,151,€21.1k,68%,€206.6,0 (0)
Fully renovated forest house 60kms from Paris,La Boissière-École,5 Bed,3 Bath,10 Guests,€48.7k,30,€17.5k,97%,€602,5 (2)
Chalet Alaska 1,La Boissière-École,1 Bed,1 Bath,2 Guests,€24.9k,185,€17.1k,44%,€211.4,5 (5)
Warm and quiet house with a pool,La Boissière-École,2 Bed,1 Bath,4 Guests,€14.7k,279,€13.3k,45%,€105.7,5 (47)
Belle Longère - Yvelines village,La Boissière-École,4 Bed,2.5 Bath,10 Guests,€6.5k,73,€6.5k,26%,€340.7,4 (1)
Chalet Alaska 3,La Boissière-École,1 Bed,1 Bath,2 Guests,€6.3k,71,€5.7k,39%,€202.5,5 (1)
Country house,La Boissière-École,3 Bed,2 Bath,6 Guests,€3k,52,€3k,37%,€158,0 (0)
"For the Olympics, property in the forest",La Boissière-École,5 Bed,3 Bath,10 Guests,€1.8k,19,€1.8k,16%,€584,0 (0)
Romantic and atypical Wkd Finnish Chalet 1E,La Boissière-École,1 Bed,1 Bath,6 Guests,€10.5k,24,€1.3k,38%,€147,5 (5)
Single-family home with pool,La Boissière-École,3 Bed,2 Bath,5 Guests,€134.1,26,€134.1,4%,€134.1,0 (0)
"Villa with character 8 at 15p, 15 minutes from Paris-350 m2",La Celle-Saint-Cloud,7 Bed,4 Bath,15 Guests,€148.9k,320,€131.8k,65%,€630.5,5 (65)
Villa des Puits - Welkeys,La Celle-Saint-Cloud,4 Bed,4 Bath,8 Guests,€139.3k,120,€62.2k,86%,€604.2,3 (4)
Bright apartment near Versailles with parking,La Celle-Saint-Cloud,3 Bed,1 Bath,6 Guests,€44.4k,316,€38.7k,84%,€146.1,5 (48)
Appartement familial entre Paris et Versailles,La Celle-Saint-Cloud,3 Bed,2 Bath,6 Guests,€40.6k,209,€26.1k,100%,€125.1,5 (7)
Chic and spacious apart with piano and terrace,La Celle-Saint-Cloud,3 Bed,1 Bath,8 Guests,€36k,247,€25.5k,68%,€150.7,5 (18)
Vast house with indoor pool,La Celle-Saint-Cloud,6 Bed,5 Bath,12 Guests,€25.5k,59,€25.5k,31%,€1.4k,0 (0)
House and garden near Paris Versailles (JO 2024),La Celle-Saint-Cloud,3 Bed,2.5 Bath,6 Guests,€64.3k,139,€25.3k,55%,€333.2,5 (8)
Beautiful Home (sleep 10) near Versailles Olympics,La Celle-Saint-Cloud,6 Bed,3.5 Bath,8 Guests,€34.4k,51,€23.6k,57%,€813.1,5 (6)
Modern house,La Celle-Saint-Cloud,3 Bed,3 Bath,6 Guests,€85.6k,82,€21.5k,57%,€456.9,0 (0)
Charming apartment,La Celle-Saint-Cloud,2 Bed,1 Bath,4 Guests,€31.9k,249,€20.9k,69%,€122,5 (15)
Beautiful apartment between Versailles and Paris,La Celle-Saint-Cloud,2 Bed,1 Bath,4 Guests,€19.8k,366,€19.8k,56%,€96.3,5 (81)
JO2024 Beautiful pool house near Versailles,La Celle-Saint-Cloud,4 Bed,3.5 Bath,9 Guests,€39.3k,12,€19.6k,100%,€1.6k,0 (0)
Apartment in a 16th century charming mansion,La Celle-Saint-Cloud,1 Bed,1 Bath,4 Guests,€17.5k,141,€16.2k,26%,€449.3,5 (27)
Luxury Jacuzzi Apartment near Paris,La Celle-Saint-Cloud,1 Bed,1.5 Bath,2 Guests,€18.4k,175,€15.8k,55%,€163,5 (62)
Cozy studio / Jardin / Versailles / Paris,La Celle-Saint-Cloud,1 Bed,1 Bath,2 Guests,€15.7k,366,€15.7k,63%,€68.4,5 (96)
"Beautiful, very bright apartment.",La Celle-Saint-Cloud,2 Bed,1 Bath,6 Guests,€15.3k,67,€15.3k,43%,€528.4,0 (0)
House between Paris and Versailles,La Celle-Saint-Cloud,3 Bed,2 Bath,6 Guests,€14.6k,189,€13.9k,42%,€176,5 (5)
Condominium,La Celle-Saint-Cloud,2 Bed,1 Bath,4 Guests,€13.5k,356,€13.5k,48%,€79.2,5 (6)
"Domaine Avec Jardin, Piscine, Jacuzzi",La Chapelle-la-Reine,10 Bed,7 Bath,22 Guests,€118.7k,136,€116.9k,43%,€2k,5 (1)
The Charming House on the Domaine,La Chapelle-la-Reine,3 Bed,3 Bath,9 Guests,€57.8k,361,€57.3k,33%,€477.4,5 (9)
"Fontainebleau Forest cottage, climbing+discovery.",La Chapelle-la-Reine,3 Bed,3 Bath,9 Guests,€49.1k,285,€40.3k,72%,€196.8,5 (51)
L’Atelier: a real cozy family nest,La Chapelle-la-Reine,2 Bed,1 Bath,5 Guests,€33.9k,347,€32.8k,38%,€250.1,5 (29)
The Apartment: for a sweet stay in the countryside,La Chapelle-la-Reine,2 Bed,1 Bath,6 Guests,€27.5k,350,€25.2k,31%,€229,5 (18)
L'Hirondelle,La Chapelle-la-Reine,3 Bed,1.5 Bath,6 Guests,€24.4k,304,€21.1k,53%,€130.2,5 (50)
The Cozy Studio in the Countryside,La Chapelle-la-Reine,1 Bed,1 Bath,2 Guests,€20.2k,323,€18.2k,41%,€138.3,5 (30)
"Maison Avec Grand Jardin, Piscine et Jacuzzi",La Chapelle-la-Reine,3 Bed,3 Bath,9 Guests,€11.4k,75,€11.4k,31%,€497.8,0 (0)
Spacious apartment with nearby parking,La Chapelle-la-Reine,1 Bed,1 Bath,2 Guests,€12k,335,€11.1k,69%,€48.3,5 (95)
climbing,La Chapelle-la-Reine,1 Bed,1 Bath,4 Guests,€14.6k,260,€10.2k,95%,€41.7,4 (41)
Duplex - nearby Fontainebleau,La Chapelle-la-Reine,1 Bed,1 Bath,2 Guests,€13.4k,271,€9.6k,66%,€53.6,5 (263)
"Latelier Avec Jardin, Piscine, Jacuzzi !",La Chapelle-la-Reine,2 Bed,1 Bath,5 Guests,€9.2k,76,€9.1k,41%,€294.4,0 (0)
La Fermette,La Chapelle-la-Reine,1 Bed,1 Bath,4 Guests,€6.3k,311,€5.8k,23%,€80.1,5 (33)
Pleasant apartment for 2 people,La Chapelle-la-Reine,1 Bed,1 Bath,2 Guests,€7.5k,134,€4.6k,57%,€60.8,5 (17)
The Dream Workshop,La Chapelle-la-Reine,1 Bed,1 Bath,2 Guests,€2.3k,42,€2.3k,40%,€136.8,5 (1)
3 room single-story house,La Chapelle-la-Reine,2 Bed,1 Bath,4 Guests,€2.3k,34,€1.2k,44%,€78.3,5 (9)
Chambre d''hotes (double #1) forêt de Fontainebleau,La Chapelle-la-Reine,1 Bed,1 Bath,2 Guests,€10.9k,31,€1.1k,55%,€63.4,0 (0)
Charming Briarde & Park,La Chapelle-Moutils,5 Bed,3 Bath,11 Guests,€68.3k,366,€68.3k,45%,€414.2,5 (60)
For your holidays and evenings for families or groups of groups of groups,La Chapelle-Moutils,3 Bed,2 Bath,16 Guests,€65.4k,344,€63.7k,41%,€452.1,5 (9)
"HOUSES - SAUNA, HAMMAN AND POOL. PARTIES PROHIBITED",La Chapelle-Moutils,3 Bed,2 Bath,10 Guests,€56.2k,354,€56.2k,41%,€384.9,5 (117)
Villa in the countryside!,La Chapelle-Moutils,9 Bed,2.5 Bath,16 Guests,€31.8k,143,€24.3k,10%,€1.6k,4 (24)
House 5 people,La Chapelle-Moutils,2 Bed,1 Bath,5 Guests,€23.6k,361,€23.3k,49%,€131.4,0 (0)
Maison Avec Sauna Hamman ET Piscine Fêtes Interdit-,La Chapelle-Moutils,3 Bed,2 Bath,10 Guests,€10.1k,68,€10.1k,31%,€482.6,0 (0)
"Weekday apartment, 4 single beds",La Chapelle-Moutils,0 Bed,1 Bath,4 Guests,€17.2k,170,€8.9k,100%,€52.2,5 (3)
12 seater dorm in old monastery,La Chapelle-Moutils,2 Bed,1 Bath,12 Guests,€14.9k,248,€8.8k,45%,€78.2,5 (3)
"Weekday apartment, 5 single beds",La Chapelle-Moutils,0 Bed,1 Bath,5 Guests,€15.6k,147,€8.1k,80%,€69.1,5 (1)
Family apartment in old monastery,La Chapelle-Moutils,0 Bed,1 Bath,4 Guests,€12.4k,236,€7.5k,62%,€51,5 (9)
Large family apartment,La Chapelle-Moutils,0 Bed,1 Bath,5 Guests,€10.2k,228,€5.3k,46%,€50.7,5 (8)
Spacious apartment in ancient monastery,La Chapelle-Moutils,0 Bed,1 Bath,2 Guests,€9.4k,233,€5.1k,44%,€50.2,5 (16)
"Weekday dorm, 12 seats",La Chapelle-Moutils,0 Bed,1 Bath,12 Guests,€14.3k,74,€3k,59%,€68.4,0 (0)
